date,screen_resolution,visits
2018-12-01,1455x818,4513
2018-12-01,1457x819,1556
2018-12-01,1463x823,3743
2018-12-01,1477x831,8827
2018-12-01,1500x1000,16687
2018-12-01,1504x1003,9278
2018-12-01,1516x947,1269
2018-12-01,1517x853,3043
2018-12-01,1518x853,14952
2018-12-01,1524x857,6218
2018-12-01,1525x858,1906
2018-12-01,1527x955,1010
2018-12-01,1536x864,752985
2018-12-01,1536x865,1109
2018-12-01,1536x960,14160
2018-12-01,1563x1042,1112
2018-12-01,1564x1043,1022
2018-12-01,1600x1000,4168
2018-12-01,1600x1024,1029
2018-12-01,1600x1200,13756
2018-12-01,1600x800,5105
2018-12-01,1600x900,610964
2018-12-01,1607x904,9339
2018-12-01,1620x1080,1744
2018-12-01,1639x922,1081
2018-12-01,1668x879,2603
2018-12-01,1670x939,10379
2018-12-01,1676x943,1023
2018-12-01,1680x1050,297118
2018-12-01,1680x945,2624
2018-12-01,1684x947,5589
2018-12-01,1707x1067,1356
2018-12-01,1707x1365,1311
2018-12-01,1707x960,19720
2018-12-01,1708x960,4485
2018-12-01,1739x979,1673
2018-12-01,1745x982,10373
2018-12-01,1760x990,1616
2018-12-01,1778x1000,4084
2018-12-01,1821x1024,14963
2018-12-01,1824x1216,1175
2018-12-01,1829x1029,12554
2018-12-01,1882x1059,2028
2018-12-01,1920x1080,1837168
2018-12-01,1920x1200,141400
2018-12-01,1951x1097,1569
2018-12-01,2000x1125,1531
2018-12-01,2000x2000,8953
2018-12-01,2021x1137,9000
2018-12-01,2048x1152,62671
2018-12-01,2048x1280,1030
2018-12-01,2048x864,1468
2018-12-01,2133x1200,9216
2018-12-01,2195x1235,3119
2018-12-01,2259x1271,3569
2018-12-01,2400x1350,2733
2018-12-01,240x320,8201
2018-12-01,2560x1080,19866
2018-12-01,2560x1440,210195
2018-12-01,2560x1600,5761
2018-12-01,2752x1152,1693
2018-12-01,3000x3000,2658
2018-12-01,3072x1728,2485
2018-12-01,320x480,26949
2018-12-01,320x528,2773
2018-12-01,320x533,1071
2018-12-01,320x534,78757
2018-12-01,320x568,965665
2018-12-01,320x569,120060
2018-12-01,320x570,178311
2018-12-01,320x640,21843
2018-12-01,320x658,46020
2018-12-01,320x694,2162
2018-12-01,3440x1440,13036
2018-12-01,346x615,2506
2018-12-01,346x692,1585
2018-12-01,357x595,2356
2018-12-01,360x592,8887
2018-12-01,360x597,1448
2018-12-01,360x598,2224
2018-12-01,360x640,2744774
2018-12-01,360x668,11147
2018-12-01,360x670,1784
2018-12-01,360x692,6331
2018-12-01,360x720,224385
2018-12-01,360x740,712030
2018-12-01,360x747,6665
2018-12-01,360x748,4989
2018-12-01,360x749,1467
2018-12-01,360x760,31405
2018-12-01,360x780,13592
2018-12-01,375x667,3608882
2018-12-01,375x812,1500329
2018-12-01,376x668,8199
2018-12-01,377x670,8255
2018-12-01,377x753,5626
2018-12-01,377x774,1017
2018-12-01,3840x1600,1109
2018-12-01,3840x2160,5017
2018-12-01,393x699,5556
2018-12-01,393x786,41748
2018-12-01,393x817,1823
2018-12-01,393x818,1139
2018-12-01,393x830,1704
2018-12-01,400x640,1661
2018-12-01,403x671,1980
2018-12-01,408x791,1840
2018-12-01,412x618,3006
2018-12-01,412x732,337202
2018-12-01,412x766,1311
2018-12-01,412x823,123762
2018-12-01,412x846,862508
2018-12-01,412x869,14907
2018-12-01,412x892,38317
2018-12-01,414x688,1231
2018-12-01,414x736,2406168
2018-12-01,414x803,5241
2018-12-01,414x851,1549
2018-12-01,414x896,467450
2018-12-01,424x753,44402
2018-12-01,424x848,7896
2018-12-01,424x895,1257
2018-12-01,432x768,2161
2018-12-01,438x854,5842
2018-12-01,455x809,1840
2018-12-01,455x910,1048
2018-12-01,455x960,1240
2018-12-01,455x986,1161
2018-12-01,463x925,1232
2018-12-01,480x800,1824
2018-12-01,480x853,1179
2018-12-01,480x854,4670
2018-12-01,485x861,2633
2018-12-01,485x969,4662
2018-12-01,485x995,1768
2018-12-01,486x863,4102
2018-12-01,534x320,1505
2018-12-01,534x854,7563
2018-12-01,540x960,1941
2018-12-01,569x320,2074
2018-12-01,570x320,3593
2018-12-01,600x1024,25264
2018-12-01,600x960,11850
2018-12-01,600x976,1004
2018-12-01,601x962,65350
2018-12-01,640x360,33498
2018-12-01,640x768,5149
2018-12-01,656x335,3313
2018-12-01,683x911,5461
2018-12-01,686x1098,2058
2018-12-01,712x1138,1404
2018-12-01,720x1280,5567
2018-12-01,720x360,2037
2018-12-01,732x412,2941
2018-12-01,740x360,5010
2018-12-01,768x1024,1129366
2018-12-01,800x1280,46601
2018-12-01,800x600,31390
2018-12-01,819x614,2070
2018-12-01,820x615,1549
2018-12-01,834x1112,86494
2018-12-01,834x1194,7212
2018-12-01,846x412,5448
2018-12-01,853x683,1266
2018-12-01,854x534,5270
2018-12-01,911x512,4705
2018-12-01,911x683,2932
2018-12-01,942x530,1033
2018-12-01,960x540,4027
2018-12-01,960x600,11283
2018-12-01,962x601,28519
2018-12-01,976x549,1549
2018-12-02,0x0,1292
2018-12-02,1012x569,2801
2018-12-02,1024x1043,8394
2018-12-02,1024x1366,81068
2018-12-02,1024x552,1190
2018-12-02,1024x576,8030
2018-12-02,1024x600,25180
2018-12-02,1024x615,1002
2018-12-02,1024x640,8662
2018-12-02,1024x768,210699
2018-12-02,1024x819,12363
2018-12-02,1024x820,10553
2018-12-02,1044x768,1831
2018-12-02,1051x591,4750
2018-12-02,1067x600,15661
2018-12-02,1067x800,1245
2018-12-02,1080x1920,6737
2018-12-02,1080x2220,1064
2018-12-02,1080x720,1598
2018-12-02,1082x2221,1322
2018-12-02,1088x612,1061
2018-12-02,1088x614,1928
2018-12-02,1088x615,2584
2018-12-02,1093x614,47464
2018-12-02,1093x615,40007
2018-12-02,1095x730,1035
2018-12-02,1097x617,10904
2018-12-02,1098x618,5738
2018-12-02,1098x686,1798
2018-12-02,1120x700,7043
2018-12-02,1129x635,1478
2018-12-02,1138x640,10355
2018-12-02,1143x643,1334
2018-12-02,1152x648,1488
2018-12-02,1152x720,20509
2018-12-02,1152x864,8397
2018-12-02,1164x655,2251
2018-12-02,1164x931,1317
2018-12-02,1185x667,1727
2018-12-02,1187x667,1209
2018-12-02,1188x668,10169
2018-12-02,1200x1920,1015
2018-12-02,1200x675,3297
2018-12-02,1200x750,1741
2018-12-02,1200x800,10453
2018-12-02,1216x811,2655
2018-12-02,1219x975,1710
2018-12-02,1229x691,7422
2018-12-02,1231x692,2660
2018-12-02,1235x823,1157
2018-12-02,1239x697,3654
2018-12-02,1241x698,2328
2018-12-02,1242x698,14728
2018-12-02,1252x704,2298
2018-12-02,1280x1024,268507
2018-12-02,1280x2000,1677
2018-12-02,1280x720,532429
2018-12-02,1280x752,2246
2018-12-02,1280x768,20080
2018-12-02,1280x800,771134
2018-12-02,1280x853,2646
2018-12-02,1280x854,5674
2018-12-02,1280x960,46248
2018-12-02,1300x731,4758
2018-12-02,1301x731,21431
2018-12-02,1324x745,5562
2018-12-02,1333x750,4669
2018-12-02,1344x756,1700
2018-12-02,1344x840,28018
2018-12-02,1347x1078,1879
2018-12-02,1360x768,68821
2018-12-02,1364x768,2333
2018-12-02,1365x1024,2265
2018-12-02,1366x768,2131793
2018-12-02,1368x768,1906
2018-12-02,1368x912,56250
2018-12-02,1371x771,5885
2018-12-02,1371x857,1127
2018-12-02,1376x774,1246
2018-12-02,1391x783,4241
2018-12-02,1396x785,1393
2018-12-02,1400x1050,2769
2018-12-02,1400x875,1058
2018-12-02,1408x792,1749
2018-12-02,1422x1138,1340
2018-12-02,1422x800,8233
2018-12-02,1423x800,1616
2018-12-02,1438x808,22223
2018-12-02,1440x2560,1572
2018-12-02,1440x810,2064
2018-12-02,1440x900,1194433
2018-12-02,1440x960,21339
2018-12-02,1455x818,4523
2018-12-02,1457x819,1247
2018-12-02,1463x823,3804
2018-12-02,1477x831,8695
2018-12-02,1500x1000,18923
2018-12-02,1504x1003,11607
2018-12-02,1516x947,1059
2018-12-02,1517x853,4440
2018-12-02,1518x853,16369
2018-12-02,1524x857,5647
2018-12-02,1525x858,1829
2018-12-02,1536x864,766927
2018-12-02,1536x865,1085
2018-12-02,1536x960,12183
2018-12-02,1563x1042,1357
2018-12-02,1564x1043,1375
2018-12-02,1600x1000,3475
2018-12-02,1600x1200,12494
2018-12-02,1600x800,5133
2018-12-02,1600x900,550019
2018-12-02,1607x904,10688
2018-12-02,1620x1080,1949
2018-12-02,1639x922,1079
2018-12-02,1668x879,2666
